,total_reads,counts,deltatime,density
517,496402.0,400,4178940.0,9.571805290336784e-05
518,595994.0,400,2364900.0,0.00016914034420060045
519,438957.0,400,1064400.0,0.0003757985719654265
520,403896.0,400,1145340.0,0.0003492412733336826
521,728357.0,400,4439100.0,9.010835529724494e-05
523,415695.0,399,1075080.0,0.0003711351713360866
524,711390.0,400,6230220.0,6.420319025652384e-05
525,421188.0,400,1127880.0,0.00035464765755222185
526,693513.0,397,3478860.0,0.00011411784320150854
528,577443.0,399,2805000.0,0.00014224598930481284
529,385784.0,400,2362560.0,0.0001693078694297711
530,514516.0,400,3453420.0,0.00011582720896965907
531,531192.0,400,4467180.0,8.95419481641662e-05
532,378261.0,400,801780.0,0.0004988899698171568
533,375280.0,400,2291880.0,0.00017452920746286891
534,749430.0,400,6151260.0,6.502732773448041e-05
536,230582.0,399,217200.0,0.0018370165745856353
537,385431.0,400,1410720.0,0.00028354315526823184
538,1319321.0,400,1394100.0,0.0002869234631662004
539,494285.0,400,4881600.0,8.194034742707309e-05
540,907266.0,400,654060.0,0.0006115646882549001
541,484952.0,400,3597600.0,0.000111185234600845
543,502949.0,400,3287880.0,0.0001216589413238926
544,574110.0,400,3464460.0,0.00011545810891163414
545,857944.0,397,7457520.0,5.3234855555197975e-05
546,948535.0,400,10294860.0,3.885434090410166e-05
547,373921.0,400,1667460.0,0.00023988581435236827
548,1397002.0,400,15312180.0,2.6122994896872946e-05
550,419034.0,400,2425620.0,0.00016490629199957123
551,665439.0,398,6510300.0,6.11338955194077e-05
552,473210.0,399,4087920.0,9.760464979745201e-05
553,809820.0,400,6089520.0,6.568662226251001e-05
554,483296.0,400,3136920.0,0.00012751361207808933
555,450152.0,399,616680.0,0.0006470130375559448
557,534876.0,400,3119220.0,0.0001282371875020037
558,541046.0,400,2897220.0,0.0001380633849000076
559,549903.0,400,3225180.0,0.0001240240854773997
560,346632.0,400,1258620.0,0.00031780839331966757
561,716260.0,400,5909220.0,6.769082890804539e-05
